age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
43,25,6,169,317,1054,12
44,22,5,16,208,9,2
56,15,4,9,111,11,1
27,15,4,29,220,16,5
38,6,2,2,306,0,4
60,27,6,5,0,569,0
51,26,6,1,295,0,0
40,28,6,321,620,40,13
46,26,6,269,267,246,13
34,10,3,49,120,21,9
52,21,5,103,183,191,0
41,6,2,16,36,0,0
48,23,6,54,163,19,3
62,25,6,94,161,465,0
47,25,6,87,141,34,7
59,22,6,129,137,410,0
37,22,6,128,78,177,0
56,25,6,239,767,889,0
30,23,6,619,633,724,3
42,17,5,57,49,99,2
41,28,6,674,722,69,24
37,24,5,199,589,348,20
58,29,6,593,615,1826,0
50,15,4,196,234,162,0
33,12,3,159,241,101,16
45,25,6,421,468,148,21
31,10,3,33,299,19,3
42,24,5,82,460,91,9
33,7,2,13,238,0,0
36,28,6,369,319,30,5
52,28,6,413,434,72,2
59,19,4,1,395,0,1
34,24,6,3,384,24,0
52,27,6,99,376,248,2
36,27,6,1,364,0,2
39,28,6,205,367,292,13
33,27,6,240,358,97,8
36,26,6,312,346,392,11
57,19,5,23,342,0,0
31,23,5,55,303,109,10
44,24,6,235,331,3,7
47,27,6,273,327,272,5
36,18,4,6,262,9,7
54,17,4,1,0,0,0
46,27,6,48,391,9,12
52,23,5,116,308,186,1
40,26,6,395,299,376,12
26,19,4,11,298,49,3
39,26,6,224,293,186,16
35,25,6,17,275,38,6
50,19,4,19,197,6,1
49,23,5,66,251,200,11
49,24,6,157,245,232,6
25,24,5,59,251,28,13
47,20,5,204,228,29,18
30,27,6,7,210,0,4
44,22,5,17,193,217,9
24,16,4,21,187,46,4
28,27,6,215,192,106,5
27,27,6,174,190,737,7
30,15,4,6,169,56,1
26,24,6,109,178,222,20
34,23,6,151,158,150,2
27,18,4,7,168,26,4
34,23,5,25,163,91,8
41,11,3,47,85,0,3
41,17,4,13,229,10,1
50,28,6,594,396,3,0
40,25,6,404,402,581,13
44,23,5,85,426,21,19
29,25,6,347,481,618,1
39,27,6,445,478,0,16
55,26,6,130,478,605,0
37,18,4,4,425,56,18
26,13,3,131,429,37,13
42,26,6,102,394,29,0
45,19,4,204,427,63,15
46,28,6,444,422,44,11
49,10,3,54,396,3,1
37,13,5,71,126,232,4
35,20,5,102,344,36,2
21,13,3,307,128,5,15
34,16,4,3,244,2,13
59,9,3,4,272,0,1
45,24,5,150,248,0,14
36,26,6,27,325,92,13
43,23,5,33,316,25,12
35,28,6,584,333,1067,10
54,26,6,184,325,190,1
24,8,3,46,168,95,3
55,21,5,183,205,307,0
59,26,6,598,713,132,0
47,17,4,71,315,49,12
45,26,6,221,329,386,0
28,17,4,152,298,284,0
35,12,3,54,163,50,1
41,15,3,88,245,52,4
40,14,3,26,264,13,6
44,28,6,118,256,4,12
52,28,6,45,264,1,1
23,26,6,201,250,265,1
60,26,6,230,235,896,0
36,14,3,21,202,0,9
21,18,4,117,164,16,10
32,27,6,216,216,308,1
37,26,6,168,215,666,9
33,17,4,99,122,97,6
42,10,3,17,124,2,8
42,18,5,4,194,0,0
26,23,6,76,176,285,0
38,19,5,9,153,0,4
48,23,6,232,140,455,0
38,22,6,130,132,215,5
34,19,5,36,116,1,0
26,22,6,5,135,5,3
54,12,5,35,0,0,0
39,20,5,28,39,0,0
48,17,5,30,32,82,2
34,16,5,33,31,111,0
29,16,5,32,31,34,1
56,16,5,39,31,105,0
33,11,4,1,29,0,3
31,8,4,4,13,38,0
45,13,5,20,25,66,2
17,11,5,9,23,19,2
38,6,3,7,19,0,1
16,7,4,11,19,0,2
29,9,4,5,17,4,1
37,7,5,2,14,0,2
30,11,3,2,12,4,2
11,20,5,82,131,199,0
55,18,5,43,141,1,0
25,6,3,7,121,50,1
40,26,6,117,134,123,1
26,23,6,30,120,360,6
27,10,3,6,119,5,0
45,24,6,237,119,417,5
45,23,6,63,117,12,5
51,23,6,115,115,8,0
28,21,6,106,113,285,2
36,17,5,6,93,13,1
39,23,6,91,95,36,6
44,23,6,131,93,287,5
53,20,5,1,77,0,1
39,21,6,78,86,82,3
22,11,4,4,60,28,7
26,15,5,47,72,65,2
22,16,5,54,76,77,4
42,14,4,50,65,49,2
38,23,5,64,68,62,3
26,7,2,7,62,0,2
43,18,4,34,68,39,1
43,17,4,16,66,28,0
41,21,6,1,61,4,0
30,13,4,25,58,23,3
40,15,5,19,58,96,3
29,11,3,8,39,13,2
35,12,4,35,56,22,2
33,18,6,45,55,67,3
51,16,5,1,40,0,1
60,15,5,55,54,141,1
40,18,6,54,53,176,3
47,17,5,52,54,206,1
28,12,4,4,47,4,4
21,16,6,46,48,39,2
46,15,5,51,45,56,3
51,21,6,2,0,1,1
26,21,6,46,45,37,1
40,22,6,41,43,0,1
31,22,6,30,43,136,2
23,20,5,39,40,115,2
35,20,5,21,38,68,2
31,20,5,41,39,105,2
30,19,6,2,37,8,1
25,9,3,2,31,21,5
16,15,6,19,30,31,1
37,13,5,14,30,43,2
29,14,5,28,29,81,0
48,14,5,21,28,0,2
39,6,2,11,59,1,3
47,23,6,255,300,265,0
32,11,4,4,54,6,11
58,28,6,837,581,1081,12
41,11,3,2,311,0,32
29,11,3,64,200,180,3
52,12,4,232,512,56,20
49,8,2,82,162,161,7
18,19,4,16,319,0,7
45,14,3,47,422,53,16
27,3,1,38,490,14,6
44,21,5,160,929,0,10
35,28,6,114,446,1379,16
33,23,5,28,420,54,2
45,12,3,46,286,49,11
52,28,6,472,794,1289,0
37,17,4,165,312,120,10
39,20,5,169,386,14,15
52,23,5,16,376,63,8
33,19,5,57,268,39,3
47,27,6,342,333,85,0
39,26,6,225,319,424,13
40,27,6,238,325,577,17
42,27,6,259,308,236,13
46,23,5,168,270,1,0
40,22,5,188,270,39,0
47,26,6,320,317,425,13
42,16,4,98,288,100,1
61,22,5,85,291,6,0
38,20,4,179,277,179,3
53,23,6,209,180,246,5
23,9,4,23,85,37,3
40,6,2,1,159,0,5
40,22,6,158,291,456,0
56,25,6,87,222,22,0
44,22,5,171,205,381,11
42,18,5,1,192,0,0
39,14,4,9,119,15,5
30,27,6,76,189,327,7
34,13,3,11,87,13,1
30,19,5,8,143,21,7
31,23,6,53,154,200,2
28,20,5,120,125,360,7
57,20,5,31,126,16,0
50,25,6,125,125,411,5
61,25,6,119,123,116,1
61,24,6,113,121,383,0
40,13,4,47,71,45,1
46,22,6,74,103,76,3
42,25,6,60,129,21,1
38,24,6,153,121,445,5
14,22,6,101,89,52,5
30,21,6,106,106,106,3
25,21,6,9,104,1,1
52,23,6,73,95,85,12
42,20,5,68,89,65,1
64,7,2,3,32,6,0
19,22,6,86,170,84,1
31,18,5,50,81,61,0
39,24,6,133,73,286,3
24,23,6,24,71,19,3
30,15,4,23,60,64,3
61,15,4,31,58,43,0
26,18,6,34,57,116,3
56,19,6,95,108,214,0
19,18,6,34,55,0,3
28,16,5,3,52,1,0
37,18,6,58,55,175,8
34,14,4,9,51,0,1
34,14,5,31,46,42,2
43,20,5,37,44,85,1
47,21,6,39,40,18,1
36,22,6,58,43,127,2
36,20,5,32,43,3,2
21,20,5,48,41,114,3
37,18,6,46,36,142,2
14,15,5,2,28,2,1
30,14,4,4,0,2,0
43,13,4,14,25,22,2
50,16,5,30,31,37,2
32,13,5,2,30,0,2
53,12,5,17,29,0,0
34,7,3,4,25,8,1
47,13,5,8,25,0,3
39,10,4,2,24,0,1
37,12,6,22,23,71,3
44,9,6,19,18,67,2
32,11,5,14,21,69,2
38,7,3,6,0,2,1
19,9,4,11,17,58,1
30,8,5,14,22,3,0
25,11,3,8,11,7,3
33,8,2,7,10,5,1
33,4,4,5,5,16,1
29,9,4,8,8,7,0
49,8,4,6,7,7,1
26,6,3,5,7,2,1
17,7,3,9,6,16,1
30,4,2,10,164,7,1
30,9,2,5,155,10,2
29,25,6,138,149,390,5
38,24,6,49,148,240,6
22,22,5,49,120,1,5
51,12,5,13,56,93,2
45,26,6,126,130,144,6
34,19,5,13,125,8,6
54,24,6,187,133,354,0
59,21,6,182,108,362,0
38,21,6,62,105,22,3
33,13,3,27,62,70,0
57,25,6,103,101,1,0
45,24,6,90,97,118,4
38,15,4,16,53,13,1
31,21,6,80,83,170,1
27,19,6,80,77,13,1
26,17,5,7,77,39,3
33,19,6,70,76,222,4
23,20,5,30,69,117,8
23,21,5,31,71,32,4
27,21,6,59,59,94,0
43,18,6,15,55,0,0
29,11,4,8,49,2,1
39,22,6,34,45,32,3
17,16,5,26,42,46,2
34,20,5,9,41,69,4
50,20,5,34,41,1,3
52,20,5,60,39,129,0
26,16,5,39,24,31,0
33,12,4,2,21,1,0
29,16,5,28,33,50,1
50,16,5,24,4,57,2
55,13,5,1,30,0,0
31,15,6,30,29,102,1
47,7,2,1,24,0,1
27,12,4,7,24,1,2
30,11,4,10,22,28,2
21,7,3,15,25,0,2
25,6,2,4,26,2,2
32,13,5,25,25,70,1
58,12,5,27,25,87,0
18,10,4,19,20,4,2
53,7,3,12,6,0,0
29,11,5,13,21,11,0
28,11,5,12,23,53,3
14,10,5,17,23,61,5
31,10,5,23,20,60,2
19,10,5,22,19,69,1
23,6,2,25,140,78,5
52,21,5,32,92,0,3
45,26,6,65,130,7,9
30,14,3,46,105,32,0
55,24,6,120,118,344,0
50,22,6,104,111,278,0
45,23,6,158,115,324,5
59,16,5,84,80,0,0
30,24,6,84,100,175,0
22,23,6,83,97,26,0
57,22,6,6,93,0,0
48,21,6,37,92,125,7
38,21,6,94,83,253,3
45,17,5,23,77,94,3
32,17,5,23,72,32,2
47,21,5,4,74,1,1
38,24,6,28,73,96,4
33,16,4,6,72,1,1
32,18,5,29,71,22,1
33,19,5,7,65,6,3
24,4,1,4,13,0,0
50,18,6,115,52,132,0
41,17,5,57,52,197,3
42,14,5,39,46,7,2
38,15,4,4,43,10,2
37,15,4,15,37,9,1
30,20,5,37,38,124,1
34,17,5,30,35,25,1
27,17,5,34,33,108,2
42,16,5,45,32,97,2
22,13,5,15,32,5,0
26,16,5,8,32,108,3
38,16,5,17,30,10,2
27,15,6,23,30,13,0
40,14,5,15,27,92,2
28,6,3,4,13,5,1
53,13,5,19,25,0,0
56,13,5,18,20,0,0
18,7,3,6,22,15,1
32,11,5,18,22,11,2
44,9,4,12,17,0,1
18,8,4,16,17,28,1
29,8,5,3,16,0,2
32,8,5,13,16,6,2
35,9,3,2,12,18,1
65,10,5,8,10,4,0
27,7,3,7,9,7,1
43,8,4,14,7,23,2
25,8,4,8,7,4,1
34,25,6,95,101,99,5
43,24,6,148,96,308,5
62,23,6,93,93,79,1
26,20,5,44,145,124,4
42,14,4,31,54,58,4
39,19,6,18,85,37,3
39,19,6,75,80,145,1
28,19,6,25,78,31,0
32,18,6,5,70,2,4
30,18,6,61,75,41,3
29,23,5,44,74,67,2
47,24,6,6,74,12,2
27,23,6,178,70,158,6
24,22,6,67,68,66,1
36,21,5,59,67,218,0
54,20,5,47,66,62,0
33,10,2,16,23,15,0
46,14,4,1,64,0,6
32,18,5,18,61,18,4
40,16,5,8,54,58,3
20,13,5,25,51,91,2
48,21,6,49,42,164,2
40,20,5,38,40,113,1
25,19,5,53,39,62,3
29,19,5,16,39,56,2
44,17,5,3,37,0,2
47,18,6,37,36,75,2
30,17,6,35,37,99,2
52,16,5,26,30,12,1
49,15,5,18,31,54,0
23,15,5,5,41,54,7
45,15,6,6,30,0,0
43,14,5,28,29,103,2
23,7,3,4,29,2,1
30,14,5,2,29,64,2
41,12,4,2,23,0,1
54,13,5,20,26,71,0
27,11,4,20,25,22,1
48,13,5,14,26,29,2
30,9,3,17,25,29,2
15,10,4,8,24,4,2
49,12,5,25,24,77,1
17,10,4,16,24,48,6
45,11,5,19,21,64,2
15,9,4,4,15,28,2
36,9,4,21,18,1,2
16,4,2,1,7,13,1
29,13,4,14,12,40,2
18,10,5,5,9,12,2
27,26,6,63,455,156,25
26,16,4,256,626,29,29
44,8,2,5,393,7,26
56,18,4,67,104,267,1
53,25,6,717,1058,1260,1
25,7,3,10,2,7,2
28,5,1,3,257,0,14
44,21,5,324,488,304,0
27,7,2,59,481,121,6
21,19,4,18,475,116,9
47,3,2,33,8,21,2
43,5,2,6,189,10,2
52,28,6,454,460,3,4
46,27,6,360,441,784,17
40,10,3,43,362,76,9
57,17,4,239,369,186,0
38,18,4,134,355,177,4
37,7,3,48,261,97,2
37,7,2,13,255,3,8
30,5,2,5,237,0,1
52,15,4,199,238,113,0
23,26,6,201,329,851,7
34,27,6,545,331,1090,14
59,27,6,3,326,1073,1
29,20,5,46,323,137,3
58,24,6,319,561,225,0
52,22,5,125,308,141,7
49,16,3,7,68,2,7
23,11,4,111,196,89,3
54,25,6,245,191,0,0
27,3,1,33,235,0,0
28,23,6,33,217,90,7
48,18,4,45,239,113,4
53,14,3,23,215,3,0
37,16,4,37,209,8,6
34,24,6,14,139,3,6
32,11,4,5,34,1,0
47,7,2,42,184,3,1
46,25,6,125,180,324,9
30,18,5,47,172,68,1
22,11,3,10,143,2,7
34,26,6,87,134,23,5
32,22,6,80,139,88,2
23,9,4,22,38,28,1
26,25,6,103,125,260,6
34,24,6,100,121,65,1
27,20,5,47,110,78,4
26,24,6,112,206,112,1
48,23,6,101,119,98,1
20,11,3,60,202,59,1
31,25,6,64,210,177,7
60,16,4,3,207,0,0
46,25,6,27,203,18,6
18,17,4,47,272,98,6
22,14,4,52,189,196,5
50,25,6,77,178,49,4
24,14,3,46,181,38,1
43,25,6,178,178,505,8
41,13,3,26,68,150,0
49,19,5,121,101,132,6
43,21,5,28,136,79,7
48,23,6,99,117,313,6
29,25,6,176,130,26,5
40,18,5,30,102,36,1
46,26,6,99,103,4,5
54,25,6,97,102,97,1
33,25,6,77,141,68,3
41,21,5,100,97,299,4
40,23,6,83,91,58,5
55,22,6,85,91,287,0
39,21,6,77,89,0,6
16,20,5,64,88,100,4
34,10,3,40,86,36,1
31,20,6,81,79,266,3
34,18,6,73,74,200,4
32,18,6,40,76,20,1
28,17,5,48,71,6,3
45,24,6,78,73,74,1
21,22,6,5,68,178,4
21,21,6,64,63,63,1
52,14,4,5,59,38,3
26,18,6,48,55,94,3
56,13,4,1,0,0,0
38,16,6,4,50,1,1
26,15,5,1,43,8,1
16,13,5,12,44,54,2
44,22,6,45,44,139,4
28,15,5,25,19,19,1
30,17,5,65,32,110,0
35,16,5,33,33,65,2
43,15,5,3,32,3,1
44,15,6,29,29,78,4
49,11,4,2,26,0,3
26,14,5,28,29,46,2
26,9,3,4,7,47,2
52,10,4,3,15,0,1
29,4,3,8,6,6,0
30,13,5,4,25,3,5
28,5,5,2,8,8,1
44,8,4,5,7,11,1
16,2,1,1,5,5,1
20,4,2,3,5,0,1
22,7,4,2,16,1,1
27,8,5,16,15,14,2
29,11,3,13,20,0,0
47,10,3,10,11,6,2
30,10,5,15,9,32,1
25,8,4,3,27,0,1
35,13,5,37,28,80,2
39,9,3,1,26,0,2
47,12,4,7,23,88,2
33,11,5,29,23,92,2
29,9,4,11,32,9,1
38,11,5,15,22,21,1
40,8,4,10,3,13,1
33,7,3,8,14,4,1
35,6,6,8,16,34,1
26,13,4,10,13,6,1
25,10,5,1,9,1,1
16,8,4,7,9,16,2
27,7,3,10,16,16,1
24,8,4,5,7,9,1
22,8,4,7,7,11,1
46,12,6,21,23,60,2
47,12,6,23,23,19,2
37,11,5,29,22,0,2
36,8,5,13,16,39,1
18,7,4,9,13,6,1
21,7,5,16,15,38,2
55,11,3,1,10,0,1
31,13,4,15,13,38,1
38,10,5,10,1,0,2
49,10,3,7,11,6,2
30,8,4,8,7,22,2
48,25,6,133,231,465,9
31,21,5,45,205,23,10
43,26,6,175,187,654,9
43,22,5,114,172,229,7
59,25,6,227,0,0,0
46,21,6,108,167,20,1
44,21,5,39,160,25,7
44,24,6,127,158,268,7
30,16,4,9,127,0,0
48,7,2,1,79,0,2
41,24,6,108,136,191,0
52,25,6,135,121,0,3
31,25,6,196,118,248,5
52,22,6,96,113,106,1
35,17,5,33,109,20,4
24,18,5,36,99,0,2
24,24,6,71,97,200,4
19,12,3,37,92,30,1
30,23,6,72,99,88,1
29,17,4,7,96,14,5
50,12,3,23,87,9,2
27,20,6,108,86,137,2
26,6,2,1,83,0,3
33,18,5,5,81,12,1
47,20,6,81,82,278,5
33,9,3,21,73,72,3
34,21,5,62,66,79,8
29,20,6,20,63,112,3
33,18,5,38,56,49,7
15,8,2,3,43,2,4
35,20,6,86,60,194,2
59,7,2,1,45,0,0
33,20,6,55,59,157,2
21,16,4,12,56,50,3
22,18,6,56,55,106,1
48,15,5,37,52,138,3
37,9,3,9,51,3,5
36,17,6,48,51,0,3
27,16,6,30,48,137,2
37,14,5,22,48,13,3
30,15,5,5,45,8,3
38,21,6,57,42,136,1
38,21,6,28,41,42,1
25,19,5,72,38,104,8
36,19,5,25,38,63,0
24,18,5,32,38,26,2
35,16,6,35,36,36,2
31,18,6,31,35,21,1
28,10,3,11,33,38,3
46,18,4,394,589,5,22
35,8,3,13,45,6,1
27,8,3,3,106,0,1
41,14,3,210,347,0,6
63,18,4,10,303,7,0
24,14,4,9,0,0,1
39,26,6,40,463,9,17
25,10,2,63,40,2,19
39,26,6,411,474,485,19
21,11,3,42,277,226,12
20,14,3,203,451,187,11
31,6,2,4,0,2,1
51,20,4,57,482,36,1
38,9,3,3,467,0,2
38,27,6,440,446,1077,26
35,12,3,11,393,25,2
27,22,5,114,436,43,5
37,28,6,362,434,839,16
37,11,3,47,421,2,14
48,27,6,308,412,0,12
25,20,4,189,349,245,5
42,17,4,276,317,0,9
40,27,6,449,376,487,20
41,22,5,148,325,19,13
37,26,6,64,329,55,1
40,25,6,263,312,265,3
45,27,6,333,329,1446,0
35,17,4,126,311,125,1
46,8,3,52,197,100,2
47,26,6,78,315,99,6
51,23,6,196,301,257,4
43,24,6,210,255,1,2
34,23,5,231,283,238,9
46,15,3,53,0,0,0
53,28,6,332,312,0,0
50,26,6,301,296,1020,11
28,20,5,93,177,85,9
16,23,5,135,298,114,11
37,8,2,38,142,32,9
33,24,6,62,148,196,8
28,24,6,131,255,1,0
43,24,6,165,169,275,2
76,27,6,154,163,484,0
45,25,6,144,163,218,7
26,26,6,125,162,264,3
29,13,3,67,96,98,2
42,25,6,176,221,4,8
32,5,1,23,14,44,4
47,19,5,75,147,94,7
27,6,2,72,1,3,2
32,19,5,75,289,302,9
52,28,6,1,727,2,21
64,17,4,40,595,754,0
46,5,2,4,47,134,3
40,17,5,173,397,329,3
54,8,3,34,17,11,1
43,22,5,196,461,77,21
36,7,2,9,39,31,2
45,27,6,204,475,284,21
29,12,4,12,59,93,2
59,23,5,367,475,74,0
35,28,6,689,404,10,17
59,28,6,817,459,1288,0
39,25,6,165,417,28,12
28,23,5,138,440,562,20
23,27,6,254,423,80,17
33,9,3,34,155,63,2
36,5,2,2,0,0,1
48,27,6,427,418,346,15
39,28,6,445,405,1527,13
37,27,6,384,365,214,10
34,27,6,161,394,41,13
44,26,6,225,381,75,14
20,26,6,278,366,22,9
29,9,2,77,110,8,13
26,5,2,18,237,77,3
73,27,6,183,200,151,0
52,26,6,54,318,132,1
46,27,6,182,332,389,0
43,22,6,214,222,484,9
43,24,6,52,303,18,14
40,5,2,8,323,0,2
43,27,6,154,553,1254,8
45,12,3,29,308,62,0
45,24,5,240,312,233,9
55,28,6,282,314,0,0
56,27,6,159,281,163,0
50,17,4,82,229,5,5
42,25,6,250,277,345,10
55,27,6,328,275,442,0
46,25,6,244,248,225,1
46,25,6,52,239,7,13
35,27,6,192,220,488,7
41,26,6,193,214,286,2
34,19,5,110,199,120,4
55,25,6,159,181,492,0
29,9,3,10,69,10,0
29,17,4,62,110,226,8
30,20,5,8,286,26,5
25,25,6,118,626,164,23
34,26,6,129,696,0,26
32,28,6,604,606,648,16
51,18,4,3,311,3,6
22,25,6,356,1036,204,12
47,22,5,36,452,29,20
54,28,6,541,541,561,1
48,27,6,413,498,749,0
47,27,6,472,470,735,0
25,21,5,25,277,662,2
29,26,6,430,435,451,2
34,16,4,73,416,150,5
55,24,5,310,137,1,1
27,10,4,8,27,25,1
55,22,5,5,389,39,14
43,15,4,239,276,7,4
57,25,6,4,74,0,0
46,19,4,194,224,178,6
48,20,4,153,321,30,14
29,12,3,12,366,21,1
46,26,6,334,344,7,15
30,22,5,21,276,0,2
52,23,5,177,338,3,9
44,14,3,65,288,0,1
36,25,6,186,290,180,3
24,13,4,76,182,164,0
42,23,5,253,332,476,0
41,27,6,291,319,2,13
32,24,6,205,285,79,12
48,23,6,71,304,92,15
56,21,5,192,324,29,0
43,8,2,3,312,0,4
39,21,5,65,288,43,0
33,15,3,34,272,30,3
52,27,6,274,260,28,0
33,12,4,10,163,2,0
29,19,4,33,245,38,7
46,24,6,205,232,569,10
21,11,3,10,144,51,9
33,21,5,47,211,2,8
37,22,6,182,177,617,7
30,23,6,300,165,139,8
25,25,6,7,160,0,2
36,26,6,59,156,153,0
30,21,5,105,226,378,7
54,15,5,54,49,0,0
35,5,4,9,14,10,1
23,15,4,21,129,15,1
21,24,6,123,125,197,1
42,15,3,45,122,50,4
23,22,5,6,115,1,1
50,23,6,102,122,0,1
52,24,6,3,122,2,3
48,13,3,8,77,2,0
40,24,6,118,123,226,6
36,19,5,64,109,15,1
42,17,5,1,110,0,1
19,15,4,7,113,17,11
31,25,6,117,102,140,3
36,21,5,72,99,27,10
22,19,5,17,95,189,0
38,16,5,67,66,125,1
45,10,3,6,63,11,1
41,17,4,27,110,39,0
30,21,6,97,86,54,8
39,21,6,29,85,207,4
50,21,6,34,84,62,3
42,20,6,72,82,35,0
38,20,6,70,82,1,4
36,18,6,55,78,3,2
23,7,2,2,73,0,2
48,12,4,39,75,0,2
29,9,3,14,14,18,1
35,23,6,42,70,18,1
39,22,6,79,67,186,6
20,20,6,58,63,1,1
41,14,4,10,58,5,3
34,19,6,90,57,209,2
32,18,6,52,54,181,1
34,17,5,1,0,0,1
39,13,5,38,51,85,0
23,16,6,35,50,46,3
35,16,6,7,49,11,1
41,13,5,22,45,12,3
22,19,5,12,40,1,3
24,18,5,30,38,29,2
34,18,6,27,36,70,2
29,12,5,4,33,1,1
32,11,3,3,29,25,0
32,12,4,9,31,6,2
26,15,5,6,30,95,6
18,14,5,16,30,14,2
39,14,5,51,28,93,3
49,13,5,26,26,82,1
28,13,5,13,26,14,2
30,12,5,23,26,71,2
32,12,5,24,24,80,2
30,28,6,24,557,18,16
55,21,5,10,366,2,0
44,19,4,11,68,0,24
38,19,4,44,435,1,3
25,14,4,205,297,290,20
40,20,5,181,399,103,25
48,14,5,3,1,0,1
51,21,5,415,484,472,4
49,21,5,1,0,0,0
56,26,6,165,344,433,0
43,13,3,45,29,6,18
30,14,4,174,271,1,3
58,28,6,255,451,857,0
43,15,4,183,419,21,10
32,27,6,579,431,430,14
58,8,5,17,15,40,0
40,25,5,231,393,0,13
31,15,4,5,239,4,6
30,27,6,86,360,209,3
54,27,6,470,355,225,1
33,8,3,64,272,116,7
38,25,6,291,353,0,14
23,26,6,345,353,1191,13
39,21,5,135,320,78,14
36,17,4,46,319,34,1
42,26,6,46,335,29,1
34,18,4,163,293,95,1
43,18,4,58,170,20,9
44,27,6,324,328,1005,13
44,27,6,304,281,53,1
56,6,2,75,285,144,0
43,26,6,252,297,411,12
46,23,6,143,287,138,12
59,20,5,125,275,129,0
46,24,6,21,247,23,9
29,21,5,57,254,48,2
23,22,5,188,237,236,12
36,23,6,135,260,160,5
29,9,4,20,24,82,1
58,11,3,4,227,5,0
35,14,5,50,176,150,1
24,25,6,153,210,405,7
33,7,3,4,184,2,4
23,9,3,20,93,1,7
40,13,3,56,133,21,8
29,25,6,182,179,297,3
34,25,6,160,180,321,7
24,13,3,16,126,4,1
50,13,3,31,152,60,6
35,22,6,143,110,20,5
23,9,3,9,48,15,0
48,13,4,26,51,29,5
36,26,6,107,104,199,9
30,21,5,55,69,234,1
18,22,6,27,92,21,0
32,21,6,46,92,92,5
22,16,4,9,61,8,1
27,21,6,19,86,175,2
37,15,4,5,81,5,4
53,20,6,93,81,296,0
34,19,6,22,78,88,1
29,18,6,48,76,188,1
48,18,6,96,70,2,0
68,23,5,31,71,0,0
47,24,6,195,110,213,1
24,24,6,82,73,248,4
22,18,5,9,68,2,2
44,19,5,1,61,1,2
20,8,4,6,20,22,2
17,12,4,8,56,26,2
43,18,6,53,56,1,5
37,16,5,5,54,12,1
32,17,5,52,52,174,2
48,17,6,50,51,0,3
21,16,6,39,51,92,3
54,14,4,4,52,0,0
24,19,5,23,43,20,1
39,21,6,43,42,136,2
27,20,5,15,38,93,1
25,17,5,26,34,58,1
17,17,5,34,33,115,0
58,12,4,15,32,77,0
34,16,5,19,32,25,2
18,15,5,31,31,94,3
30,11,4,6,30,55,0
31,15,6,38,30,111,2
32,15,6,2,29,0,1
39,14,5,1,29,0,2
40,12,5,11,29,65,1
23,14,5,31,27,85,1
29,13,5,18,27,48,2
27,5,2,1,27,0,1
43,13,5,41,26,76,2
48,10,4,1,25,0,1
22,12,4,21,27,22,2
32,8,4,18,18,17,1
60,6,3,3,17,0,0
38,8,5,14,15,7,2
37,29,6,240,17,2631,26
48,28,6,176,406,0,21
27,7,2,16,131,16,0
27,3,1,18,266,5,5
31,16,4,341,387,97,11
44,27,6,520,392,193,20
35,12,3,50,408,65,0
39,20,4,40,369,42,20
38,2,1,5,0,1,2
25,12,4,19,206,17,6
26,22,5,25,377,11,14
39,7,2,10,97,16,3
49,9,2,2,13,1,0
39,28,6,517,91,16,8
33,19,4,332,310,30,8
31,9,3,125,380,92,1
26,6,2,32,281,42,2
21,14,3,81,5,9,7
41,14,4,115,327,61,11
37,25,6,148,400,721,14
65,11,4,58,134,7,0
31,18,5,38,68,0,8
63,27,6,333,240,1,0
44,12,5,1,282,0,0
43,9,2,45,369,67,2
48,15,4,37,195,14,1
44,24,6,98,300,1,0
58,26,6,44,328,30,1
50,16,4,52,278,167,0
48,5,2,32,3,2,1
51,27,6,335,304,98,15
35,18,4,172,286,182,0
58,27,6,1,297,0,0
58,24,5,112,249,2,0
49,21,5,207,246,26,1
36,28,6,286,310,934,13
34,17,4,9,261,377,18
50,26,6,234,279,4,10
30,23,5,152,244,193,12
46,22,5,87,254,0,6
23,26,6,124,237,0,13
27,24,6,37,231,229,4
33,25,6,123,219,219,5
49,26,6,335,207,505,1
37,18,4,89,198,49,4
25,26,6,12,184,579,3
20,14,3,52,149,86,6
26,24,6,125,169,167,2
30,24,6,172,171,171,1
34,13,4,12,12,0,0
28,11,3,10,10,10,0
37,8,4,8,6,0,6
35,8,4,7,5,8,1
42,12,6,30,17,57,2
21,11,5,5,22,11,1
43,10,5,2,22,0,1
46,11,5,23,27,74,2
45,3,2,2,20,2,1
29,8,4,3,18,10,0
21,9,4,18,18,0,2
55,7,5,12,14,9,1
35,14,4,4,13,40,5
43,10,3,2,12,20,2
48,23,6,109,120,0,0
29,21,6,52,119,46,5
47,23,6,113,118,344,5
22,23,6,201,115,93,2
27,20,6,35,104,56,4
42,22,6,98,113,92,6
29,20,6,20,108,3,0
28,7,3,6,29,5,1
37,23,6,1,83,0,1
52,19,5,3,53,0,0
18,20,5,61,82,149,5
48,23,6,81,94,258,0
25,23,6,82,82,241,2
48,21,6,1,88,0,3
32,21,6,133,86,288,0
35,16,5,27,67,16,4
41,19,6,77,79,19,3
38,20,6,79,79,126,4
24,14,3,51,8,7,3
46,24,6,124,72,217,4
19,23,6,63,69,247,4
31,6,4,19,62,70,2
48,19,5,9,60,2,3
33,18,5,2,56,29,8
30,8,2,7,63,4,1
17,16,4,47,50,0,2
51,20,6,61,61,222,1
36,19,6,56,56,211,3
29,19,6,51,56,3,3
25,16,5,49,52,95,3
21,16,6,31,49,19,1
