age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
26,19,5,107,249,181,5
51,22,5,161,305,8,0
56,27,6,317,329,831,0
54,16,4,103,219,170,1
44,27,6,325,325,898,17
44,15,5,82,252,253,10
41,25,6,150,302,161,10
29,9,2,37,321,0,1
20,20,5,36,300,94,5
35,26,6,241,600,840,0
52,20,5,13,260,84,0
56,26,6,70,373,53,0
45,21,5,77,302,1,2
36,26,6,248,311,237,1
56,27,6,260,445,31,0
50,17,4,1,268,1,10
47,25,6,20,290,13,14
59,26,6,297,293,1059,0
55,13,3,2,182,2,0
33,27,6,74,285,144,9
52,23,5,19,82,12,2
33,26,6,252,267,764,0
31,16,4,56,242,0,2
54,14,4,97,172,531,0
27,19,6,61,276,0,0
34,16,4,102,570,191,14
50,24,5,587,555,0,24
40,10,3,71,47,8,3
43,25,6,96,199,254,23
57,27,6,214,493,18,0
47,9,4,106,98,2,0
39,4,2,32,17,2,1
29,6,2,9,8,7,4
33,29,6,105,405,494,16
28,11,3,21,461,16,9
45,27,6,265,494,220,0
42,7,2,43,0,0,6
26,24,5,19,429,14,2
50,23,5,98,423,129,2
28,4,2,14,51,13,2
43,9,3,27,216,42,17
39,15,4,199,397,271,15
38,27,6,322,411,1381,10
32,24,5,285,364,749,13
40,19,4,52,389,42,2
32,6,2,9,381,0,2
30,5,2,5,225,0,2
46,26,6,287,631,633,8
45,16,4,130,340,12,2
30,26,6,3,315,0,12
41,27,6,214,327,1263,12
36,24,6,264,318,343,1
25,25,6,235,323,242,10
73,25,6,243,167,89,0
36,18,4,194,292,272,14
50,28,6,250,310,717,0
48,25,6,41,203,24,2
49,14,3,84,297,20,13
48,27,6,503,583,6,6
44,18,5,2,261,16,1
36,24,6,23,290,38,1
44,23,6,3,283,0,13
34,21,6,168,170,171,1
21,14,3,39,150,71,2
49,24,6,64,220,0,3
35,26,6,164,270,180,8
33,10,3,78,206,31,10
20,17,4,170,200,183,13
49,26,6,384,235,401,0
44,17,4,3,213,0,7
32,26,6,205,208,0,0
36,23,6,185,200,186,5
42,20,5,117,173,141,1
32,7,3,32,32,32,1
27,5,3,1,1,0,0
55,11,3,31,281,1,1
40,18,4,320,409,337,11
42,5,2,30,404,47,6
53,15,4,131,49,141,3
50,18,4,283,401,37,25
24,9,3,13,374,89,13
40,17,4,33,381,16,5
43,17,4,0,0,0,1
51,17,4,15,171,57,2
43,28,6,123,595,1788,32
29,27,6,38,400,40,24
52,24,5,277,823,309,1
21,8,2,2,193,2,1
36,23,5,10,419,33,4
58,21,5,31,155,0,0
27,10,3,97,406,0,0
56,21,5,287,444,351,0
45,26,6,405,449,178,18
25,23,5,43,401,10,13
33,27,6,0,441,0,0
